City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,dicamay,16.7561,122.0037,289.98,92,0,1.55,PH,1678563231
123,tabas,33.5959,56.9244,290.99,38,0,0.68,IR,1678563232
124,katsuura,35.1333,140.3,285.38,63,0,2.32,JP,1678562781
125,agadez,19.75,10.25,297.83,12,100,1.89,NE,1678563232
126,thompson,55.7435,-97.8558,265.24,49,20,3.6,CA,1678562779
127,la ronge,55.1001,-105.2842,263.29,62,75,5.14,CA,1678562839
128,port blair,11.6667,92.75,299.0,73,37,1.04,IN,1678563233
129,hithadhoo,-0.6,73.0833,301.02,70,13,3.12,MV,1678562694
130,tura,25.5198,90.2201,294.34,30,0,1.24,IN,1678562891
131,chokurdakh,70.6333,147.9167,241.11,95,15,2.33,RU,1678562693
132,kirakira,-10.4544,161.9205,298.72,89,100,1.22,SB,1678563234
133,richards bay,-28.783,32.0377,297.48,90,0,1.58,ZA,1678563127
134,mpika,-11.8343,31.4529,290.17,95,100,1.38,ZM,1678563235
135,saskylakh,71.9167,114.0833,246.85,93,99,3.24,RU,1678562662
136,puerto leguizamo,-0.1934,-74.7819,295.8,99,100,0.96,CO,1678563235
137,abancay,-13.6339,-72.8814,293.99,65,81,3.43,PE,1678563236
138,ferrol,43.4832,-8.2369,289.44,90,100,5.79,ES,1678563236
139,paramonga,-10.6667,-77.8333,299.68,70,54,4.73,PE,1678563236
140,vardo,70.3705,31.1107,264.14,73,3,11.83,NO,1678562708
141,vershino-darasunskiy,52.35,115.5167,248.85,90,68,1.75,RU,1678563237
142,okhotsk,59.3833,143.3,261.16,94,100,5.07,RU,1678563238
143,paamiut,61.994,-49.6678,272.15,77,99,1.47,GL,1678562905
144,tasiilaq,65.6145,-37.6368,264.24,74,0,1.64,GL,1678562691
145,bougouni,11.417,-7.479,304.66,11,62,0.52,ML,1678563238
146,palmer,42.1584,-72.3287,279.13,62,75,6.69,US,1678562863
147,pisco,-13.7,-76.2167,300.38,73,0,4.12,PE,1678562700
148,nixa,37.0434,-93.2944,278.84,91,100,5.36,US,1678563239
149,chirongui,-12.9319,45.1483,300.11,72,100,3.3,YT,1678563240
150,touros,-5.1989,-35.4608,300.93,75,18,6.03,BR,1678563240
151,yazd,31.8972,54.3675,287.21,35,0,1.03,IR,1678563241
152,prince rupert,54.3161,-130.3201,276.98,35,100,7.2,CA,1678562669
153,byumba,-1.5763,30.0675,287.26,95,100,1.2,RW,1678563241
154,tiksi,71.6872,128.8694,247.91,97,71,3.59,RU,1678562698
155,port hardy,50.6996,-127.4199,281.25,66,75,7.72,CA,1678563242
156,tommot,58.9564,126.2925,256.26,95,100,3.83,RU,1678563243
157,ponta delgada,37.7333,-25.6667,289.55,100,75,6.69,PT,1678562901
158,victoria,22.2855,114.1577,294.93,89,100,2.2,HK,1678562984
159,buncrana,55.1333,-7.45,276.02,96,100,4.59,IE,1678563243
160,hobyo,5.3505,48.5268,300.18,78,13,5.78,SO,1678562693
161,port-gentil,-0.7193,8.7815,299.13,89,20,3.6,GA,1678563244
162,bethel,41.3712,-73.414,279.2,68,100,5.66,US,1678562720
163,alyangula,-13.8483,136.4192,300.03,77,57,4.81,AU,1678563245
164,dergachi,51.2328,48.7659,275.28,77,100,5.9,RU,1678563245
